tconst,title,actor,actress,director,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0098278,Secret Scandal,,,,1990.0,85.0,Drama,5.5,41
tt0098294,La settimana della sfinge,,,,1990.0,102.0,Comedy,6.3,87
tt0098344,Skinned Alive,,,,1990.0,77.0,"Comedy,Horror",3.7,667
tt0098372,Spirit of the Eagle,,,,1991.0,93.0,"Adventure,Drama",5.4,177
tt0098377,The Spring,,,,1990.0,102.0,Adventure,4.7,107
tt0098405,Stuk v dver,,,,1990.0,80.0,"Drama,History",6.1,13
tt0098422,The Sword of Bushido,,,,1990.0,104.0,Action,4.5,152
tt0098426,Sárkány és papucs,,,,1990.0,72.0,Animation,6.9,220
tt0098431,Taina jocului de cuburi,,,,1990.0,73.0,Family,6.2,13
tt0098461,Thanedaar,,,,1990.0,151.0,"Action,Crime,Drama",5.4,414
tt0098462,That Englishwoman: An Account of the Life of Emily Hobhouse,,,,1990.0,99.0,"Drama,History,War",5.0,27
tt0098486,The Death King,,,,1990.0,80.0,"Drama,Horror",6.4,2719
tt0098488,Tom et Lola,,,,1990.0,97.0,Sci-Fi,6.4,301
tt0098495,Tormozheniye v nebesakh,,,,1990.0,81.0,Comedy,5.3,13
tt0098514,Trois années,,,,1990.0,93.0,"Comedy,Drama",5.6,81
tt0098531,Treasure of the Bitch Islands,,,,1990.0,108.0,"Mystery,Sci-Fi",5.6,177
tt0098532,The Match Factory Girl,,,,1990.0,69.0,"Comedy,Crime,Drama",7.5,10386
tt0098534,Tumultes,,,,1990.0,91.0,Drama,6.4,42
tt0098542,"Ti, koyto si na nebeto",,,,1990.0,102.0,Drama,8.2,79
tt0098548,Universal Laws,,,,1990.0,119.0,Drama,6.3,13
tt0098584,A Woman's Revenge,,,,1990.0,133.0,Drama,5.9,257
tt0098588,Forbidden Love,,,,1990.0,91.0,"Drama,Romance",6.8,246
tt0098606,The Voice of the Moon,,,,1990.0,126.0,"Comedy,Drama",6.3,3180
tt0098629,Weininger's Last Night,,,,1990.0,105.0,Drama,7.1,64
tt0098656,William S. Burroughs: Commissioner of Sewers,,,,1991.0,60.0,Documentary,6.9,128
tt0098657,Winckelmanns Reisen,,,,1990.0,80.0,Drama,7.2,16
tt0098658,Wings of Fame,,,,1990.0,109.0,"Comedy,Drama,Fantasy",6.9,970
tt0098707,The Final Judgement,,,,1993.0,93.0,"Crime,Mystery",7.3,73
tt0098920,Piggate,,,,1990.0,97.0,"Comedy,Fantasy",2.8,36
tt0098958,His Nickname Is Beast,,,,1990.0,88.0,"Action,Crime",5.6,218
tt0098959,...Almost,,,,1990.0,84.0,"Drama,Fantasy,Romance",5.1,165
tt0098961,Les 1001 nuits,,Catherine Zeta-Jones,,1990.0,98.0,"Adventure,Comedy,Fantasy",5.4,1009
tt0098963,1871,,,,1990.0,100.0,"Drama,History,Romance",6.4,69
tt0098965,Little Ninjas,,,,1993.0,100.0,"Action,Adventure,Comedy",2.3,848
tt0098966,Three Men and a Little Lady,,,,1990.0,104.0,"Comedy,Drama,Family",5.4,25881
tt0098967,Boiling Point,,,,1990.0,96.0,"Action,Comedy,Crime",6.7,7261
tt0098970,Alone Together,,,,1990.0,98.0,Thriller,5.8,90
tt0098972,Tales of a Golden Geisha,,,,1990.0,114.0,"Comedy,Drama",6.4,313
tt0098974,Die Aids-Trilogie: Feuer unterm Arsch - Vom Leben und Sterben schwuler Männer in Berlin,,,,1990.0,50.0,inconnus,6.2,31
